TestCaseID							TestStep							BDD_Step							Status							Remarks

TestSearchGoldenRecords							openbrowser							Given I Open the browser							pass							

LoginToHIWithoutSecurity							enterdata														pass							

LoginToHIWithoutSecurity							enterdata														pass							

LoginToHIWithoutSecurity							click														pass							

TestSearchGoldenRecords							enterdata							When I enter {data} in Search Input							pass							

TestSearchGoldenRecords							click							And I Press submit button							pass							

TestSearchGoldenRecords							verifypageproperty							Then the Url should be like {data}							pass							

TestSearchGoldenRecords							verifyTextpresent							And {data} should be present on the page							pass							

TestMoveToNew							openbrowser							Given I Open HI Application.							pass							

LoginToHIWithoutSecurity							enterdata														pass							

LoginToHIWithoutSecurity							enterdata														pass							

LoginToHIWithoutSecurity							click														pass							

TestMoveToNew							navigateUrl							When I Navigate to Move page.							pass							

TestMoveToNew							verifytextpresent							Then I Verify control is in Move page.							pass							

TestMoveToNew							click							And I Select Record Type as Person.							pass							

TestMoveToNew							enterdata							And I Enter KeyWord for search							pass							

TestMoveToNew							click														pass							

TestMoveToNew							getObjectProperty							Then I Populate SourceIDs							pass							

TestMoveToNew							getObjectProperty														pass							

TestMoveToNew							check							And I Select SR to move.							pass							

TestMoveToNew							check														pass							

TestMoveToNew							click							When I Move To New GR							pass							

TestMoveToNew							verifyobjectpresent							And I Verify SR1 ID							pass							

TestMoveToNew							verifyobjectpresent							And I verify SR2 ID							pass							

TestMoveToNew							enterdata							And I Enter Comments.							pass							

TestMoveToNew							click							And I saved the action							pass							

TestMoveToNew							click							And I click on Audit panel							pass							

TestMoveToNew							getObjectProperty							When I stored the GRId1							pass							

TestMoveToNew							click							And I click on the GR ID 1							pass							

TestMoveToNew							verifyObjectPresent							And I check for the ShowAll Test Object							pass							

TestMoveToNew							verifytextpresent							And I verify first Golden record is closed							fail							Text : closed is not found on page

TestMoveToNew							verifytextpresent							And I verify the Golden Record Id							pass							

TestMoveToNew							closebrowser							Then I close all the browser.							pass							

TestMoveToExisting							openbrowser							Given I Open HI Application.							pass							

LoginToHIWithoutSecurity							enterdata														pass							

LoginToHIWithoutSecurity							enterdata														pass							

LoginToHIWithoutSecurity							click														pass							

TestMoveToExisting							navigateUrl							And I Navigate to Move page.							pass							

TestMoveToExisting							verifytextpresent							Then I Verify control is in Move page.							pass							

TestMoveToExisting							click							And I Select Record Type as Person.							pass							

TestMoveToExisting							enterdata							And I Enter KeyWord for search							pass							

TestMoveToExisting							click														pass							

TestMoveToExisting							getObjectProperty							And I Populate SourceIDs							pass							

TestMoveToExisting							getObjectProperty														pass							

TestMoveToExisting							check							And I Select SR to move.							pass							

TestMoveToExisting							check														pass							

TestMoveToExisting							click							Then I Move To Existing GR							pass							

TestMoveToExisting							click							And I Click on drop down image							pass							

TestMoveToExisting							verifytextpresent							Then I Verify controls on Move to Existing Page							pass							

TestMoveToExisting							enterdata														pass							

TestMoveToExisting							click														pass							

TestMoveToExisting							click														pass							

